City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,winslow,35.0242,-110.6974,9.1,15,0,3.6,Winslow,1679963334
1,takoradi,4.8845,-1.7554,26.2,85,91,3.21,Takoradze,1679963602
2,bredasdorp,-34.5322,20.0403,14.93,71,9,1.25,Bredasdorp,1679963070
3,busselton,-33.65,115.3333,14.55,74,0,4.33,Busselton,1679963069
4,qaanaaq,77.484,-69.3632,-23.91,62,34,2.96,Qaanaaq,1679963235
5,san rafael,-34.6177,-68.3301,25.35,49,0,6.12,San Rafael,1679963347
6,bonavista,48.6499,-53.1147,-0.57,94,97,9.79,Bonavista,1679963608
7,nome,64.5011,-165.4064,-6.58,86,100,9.77,Nome,1679963151
8,mataura,-46.1927,168.8643,10.27,68,55,4.05,Mataura,1679963028
9,aswan,24.0934,32.907,19.61,26,0,4.12,Aswān,1679963612
10,cabo san lucas,22.8909,-109.9124,24.61,57,75,1.54,Cabo San Lucas,1679963107
11,nioro,13.35,-15.75,28.4,18,6,6.29,Nioro,1679963499
12,pevek,69.7008,170.3133,-18.89,78,59,6.84,Pevek,1679963209
13,vao,-22.6667,167.4833,25.13,81,100,7.17,Vao,1679963617
14,dikson,73.5069,80.5464,-27.45,100,100,4.17,Dikson,1679963040
15,pueblo nuevo,23.3833,-105.3833,14.61,31,20,1.72,Pueblo Nuevo,1679963619
16,teguldet,57.3064,88.1667,0.97,99,100,2.73,Tegul'det,1679963620
17,butaritari,3.0707,172.7902,27.68,79,48,6.95,Butaritari,1679963160
18,rikitea,-23.1203,-134.9692,26.53,78,69,6.39,Rikitea,1679963109
19,vaini,-21.2,-175.2,24.09,100,75,5.14,Vaini,1679963167
20,bobon,12.5246,124.5636,28.29,72,100,3.96,Bobon,1679963625
21,atuona,-9.8,-139.0333,27.02,75,99,5.06,Atuona,1679963049
22,qasigiannguit,68.8193,-51.1922,-14.86,97,17,2.36,Qasigiannguit,1679963627
23,ushuaia,-54.8,-68.3,1.81,93,100,8.75,Ushuaia,1679962905
